New Text Document_nouns.csv
Unique nouns: 122,Total nouns: 189
Total time: 1.657 sec,Cost per noun: 8.765 ms
course,"[""Left COURSE Display and RotaryUsed to select the desired VOR radial for the captain's EHSI.""]",1
display,"[""Left COURSE Display and RotaryUsed to select the desired VOR radial for the captain's EHSI."", 'Heading Display and RotaryThis display is used in conjunction with the HEADING Rotary.']",2
the captain's ehsi,"[""Left COURSE Display and RotaryUsed to select the desired VOR radial for the captain's EHSI.""]",1
conjunction,"[""This works in conjunction with the VOR selected using the pilot's EHSI Control Panel."", 'Auto Throttle SwitchThis switch is used in conjunction with the IAS / MACH Rotary and Display.', 'C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.', 'Heading Display and RotaryThis display is used in conjunction with the HEADING Rotary.', 'Altitude Display and RotaryUsed in conjunction with the Altitude Hold Button and Vertical Speed Button.', ""This works in conjunction with the VOR selected using the first-officer's EHSI Control Panel."", 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.', 'APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.', 'Used in conjunction with the auto-throttle, the autopilot will maintain the current airspeed while ascending, or descending to the selected altitude.', 'Used in conjunction with the auto\\x02throttle, the autopilot will maintain airspeed according to the IAS / MACH Display.']",10
the vor,"[""This works in conjunction with the VOR selected using the pilot's EHSI Control Panel."", ""This works in conjunction with the VOR selected using the first-officer's EHSI Control Panel.""]",2
the pilot's ehsi control panel,"[""This works in conjunction with the VOR selected using the pilot's EHSI Control Panel.""]",1
auto throttle switchthis switch,['Auto Throttle SwitchThis switch is used in conjunction with the IAS / MACH Rotary and Display.'],1
this switch,"['Use this switch to toggle the Auto Throttle on, or off.', ""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",3
the auto throttle,"['Use this switch to toggle the Auto Throttle on, or off.']",1
auto throttle,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.']",1
